brand,category,image,title,sku,instock,productId,price,description,specifications
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425839169_w640_h640_detskaya-palatka-avtobus.jpg,"Детская палатка Автобус M 3752","M 3752","В наличии",821287529,392,"автобус, 110-71-71см, 1вход-накидка, окно в крыше, в сумке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425850309_w640_h640_detskaya-palatka-politsiya.jpg,"Детская палатка Полиция M 3753","M 3753","В наличии",821289763,392,"автобус, полиция, 110-71-71см, 1вход-накидка, окно в крыше, в сумке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425853408_w640_h640_detskaya-palatka-domik.jpg,"Детская палатка домик на колышках M 3755-1 2 вида ","M 3755-1","В наличии",821290504,448,"домик, 93-70-103см, на колышках, 2входа, 2вида, в кор-ке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425862613_w640_h640_detskaya-palatka-domik.jpg,"Детская палатка домик M 3761","M 3761","В наличии",821292871,560,"домик, 100-100-135см, на колышках,стенки-сетка на завязках,в сумке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425865789_w640_h640_detskaya-palatka-s.jpg,"Детская палатка с трубой Хелло Китти M 3775","M 3775","В наличии",821293409,672,"НК,270-92-92см,с тоннел,домик/куб, окно-сетка,2вх-липуч,/молн,2в,сум","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425868883_w640_h640_detskaya-palatka-s.jpg,"Детская палатка с тоннелем Принцессы M 3776","M 3776","В наличии",821294245,644,"DP, 270-92-92см,с тоннел,домик/куб, окно-сетка,2вх-липуч,/молн,в сум","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425871155_w640_h640_detskaya-palatka-s.jpg,"Детская палатка с тоннелем Марвел M 3791","M 3791","В наличии",821295524,672,"AV,235-72-93см,с тоннел, домик,куб,2вх(липуч,молния),окно-сет, в сум","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425873769_w640_h640_detskaya-palatka-domik.jpg,"Детская палатка Домик с верандой M 5498","M 5498","В наличии",821296541,560,"домик, с верандой, 150-90-110см, на колышках, 2входа, в кор-ке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1425878380_w640_h640_detskaya-palatka-domik.jpg,"Детская палатка Домик Щенячий Патруль M 5726","M 5726","В наличии",821298063,504,"ЩП, домик, 100-100-120см, на колышках, 1вход, в сумке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Корзины для игрушек,палатки",https://images.ua.prom.st/1468600338_w640_h640_detskaya-palatka-schenyachij.jpg,"Детская палатка Щенячий патруль M 5729 ***","M 5729","В наличии",839728174,57120,"ЩП, 162-96-82см, 2в1(домик,манеж), кольцо,1вх.на липуч,2цв,в сумке","производитель = Bambi,страна производитель = Китай,тип = Палатка,размещение = В помещении/на улице,возрастная группа = От 1 года,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1240040031_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg," Колыбель-качели электрическая Bambi с таймером ME 1020-12 мятная ***","ME 1020-12","В наличии",739093009,258272,"ТИП  2в1 (качалка-шезлонг)   ВОЗРАСТ от 0 месяцев   ГАБАРИТНЫЙ РАЗМЕР КАЧЕЛЕЙ Д/Ш/В-75см/64см/119см   РАЗМЕР СПАЛЬНОГО МЕСТА 83-39см   ОСОБЕННОСТИ спинка регулируется в 3-х положениях     таймер на 8, 15 и 30 мин.     12 мелодий, звуки природы, водопад     регулятор громкости     8 скоростей качания     3 скорости вибрации     световые эффекты     питание от сети или от 4-х батареек типа АА и 1шт R20 (не входят в комплект)     управление через мобильное приложение AppleAPP и AndroidAPP         КОМПЛЕКТАЦИЯ адаптер питания     полозья для шезлонга     съемный столик     съемная подушка     5-ти точечные ремни безопасности     вращающийся мобиль с тремя игрушками  и проектором     москитная сетка   МАТЕРИАЛ ИЗДЕЛИЯ металл, пластик, ткань   КОРОБКА БРУТТО 8,7кг, НЕТТО 7кг. Размер 50х17,5х69 см","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
